ANO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
1996,23.32975376,23.87426203,24.39982588,25.09344962,25.55084230,25.96690173,26.33603069,26.68607171,27.11275149,27.45116754,27.86708345,28.75933645
1997,29.49888603,29.99459809,30.36788907,30.69597181,30.97611945,31.25095691,31.52321104,31.80350220,32.19961259,32.45694082,32.82004201,33.27987451
1998,34.00392411,34.59923784,35.00453340,35.33204206,35.61348136,36.03442041,36.38187811,36.73163210,37.32737639,37.86226893,38.53278623,39.47297432
1999,40.46977028,41.01364281,41.39468378,41.77457661,42.02587708,42.30200620,42.58157977,42.82125526,43.23501839,43.50885123,43.89577645,44.33551639
2000,44.93083012,45.32938031,45.58068078,45.84001827,46.01137907,46.28392024,46.46446621,46.71978519,47.06107160,47.38513583,47.79028786,48.30767118
2001,48.57547625,48.54332816,48.85088778,49.09730863,49.20997046,49.32636377,49.19820196,49.48968755,49.95038115,50.17613537,50.36514891,50.43489879
2002,50.90047201,50.86774985,51.12794844,51.40723497,51.51142923,51.76258618,51.91118135,52.10856030,52.42198356,52.65303609,53.07887728,53.30992980
2003,53.52544068,53.67412245,54.01293041,54.10514420,53.93055967,53.97511240,54.05333870,54.21548991,54.53823816,54.73820739,55.19254161,55.42981079
2004,55.77431735,56.10794476,56.29807094,56.38303195,56.24160294,56.33174451,56.47939018,56.82804118,57.29791705,57.69474717,58.18689940,58.30708815
2005,58.30916037,58.50343099,58.76712098,58.97641519,58.82825146,58.77178347,59.00179988,59.07225536,59.30900649,59.45457994,59.88249335,60.25031239
2006,60.60362589,60.69635773,60.77251181,60.86161727,60.59067451,60.64299806,60.80929371,61.11960865,61.73661213,62.00651878,62.33185730,62.69242357
2007,63.01620793,63.19234663,63.32911314,63.29129513,62.98253436,63.05817039,63.32600481,63.58399619,64.07770259,64.32740509,64.78122126,65.04905568
2008,65.35056368,65.54483430,66.01989072,66.17012666,66.09863507,66.37216810,66.74205936,67.12749227,67.58493481,68.04548569,68.81894178,69.29555236
2009,69.45614941,69.60949368,70.00995018,70.25499019,70.05035847,70.17935416,70.37051645,70.53888432,70.89271587,71.10719063,71.47604578,71.77185517
2010,72.55204598,72.97167051,73.48972549,73.25556464,72.79397765,72.77118323,72.92919000,73.13174950,73.51511019,73.96892635,74.56158125,74.93095445
2011,75.29599135,75.57846024,75.72345093,75.71744095,75.15926438,75.15550814,75.51610674,75.63555502,75.82111305,76.33271230,77.15833283,77.79238536
2012,78.34304946,78.50231384,78.54738867,78.30097963,78.05381934,78.41366669,78.85389747,79.09054030,79.43911894,79.84103612,80.38343650,80.56824328
2013,80.89278202,81.29094297,81.88743314,81.94152293,81.66882024,81.61923793,81.59219304,81.82432839,82.13233968,82.52298816,83.29226516,83.77005830
2014,84.51905163,84.73315704,84.96529239,84.80677925,84.53557906,84.68207224,84.91495883,85.21996514,85.59633992,86.06962558,86.76377787,87.18898371
2015,87.11010277,87.27537713,87.63071699,87.40384038,86.96736583,87.11310776,87.24081976,87.42487529,87.75241902,88.20391850,88.68546788,89.04681772
2016,89.38638139,89.77778112,89.91000060,89.62527796,89.22561452,89.32402789,89.55691448,89.80933349,90.35774385,90.90615422,91.61683394,92.03903480
2017,93.60388244,94.14478034,94.72248933,94.83893263,94.72549432,94.96363964,95.32273574,95.79376765,96.09351524,96.69826913,97.69517399,98.27288299
2018,98.79499970,99.17137448,99.49215698,99.15484705,98.99408017,99.37646493,99.90909910,100.49200000,100.91700000,101.44000000,102.30300000,103.02000000
2019,103.10800000,103.07900000,103.47600000,103.53100000,103.23300000,103.29900000,103.68700000,103.67000000,103.94200000,104.50300000,105.34600000,105.93400000
2020,106.44700000,106.88900000,106.83800000,105.75500000,106.16200000,106.74300000,107.44400000,107.86700000,108.11400000,108.77400000,108.85600000,109.27100000
2021,110.21000000,110.90700000,111.82400000,112.19000000,112.41900000,113.01800000,113.68200000,113.89900000,114.60100000,115.56100000,116.88400000,117.30800000
2022,118.00200000,118.98100000,120.15900000,120.80900000,121.02200000,122.04400000,122.94800000,123.80300000,124.57100000,125.27600000,125.99700000,126.47800000
2023,127.33600000,128.04600000,128.38900000,128.36300000,128.08400000,128.21400000,128.83200000,129.54500000,130.12000000,130.60900000,131.44500000,132.37300000
2024,133.55500000,133.68100000,134.06500000,134.33600000,134.08700000,134.59400000,136.00300000,136.01300000,,,,
